,0
0,Olaplex Hair Perfector No. 3
1,No. 5 Bond Maintenance™ Conditioner
2,No. 4 Bond Maintenance™ Shampoo
3,No. 7 Bonding Oil
4,No. 6 Bond Smoother Reparative Styling Creme
5,"Don't Despair, Repair!™ Deep Conditioning Mask"
6,Scalp Revival Charcoal + Coconut Oil Micro-exfoliating Shampoo
7,No. 5 Bond Maintenance™ Conditioner Mini
8,No. 4 Bond Maintenance™ Shampoo Mini
9,Farewell Frizz™ Rosarco Milk Leave-In Conditioning Spray
10,"Don’t Despair, Repair!™ Super Moisture Shampoo"
11,Vegan Boar Bristle Hair Brush
12,Blossom & Bloom™ Ginseng + Biotin Volumizing Shampoo
13,Supernatural Conditioner
14,Next Level Hair - Dry Hair Duo
15,Every Day Shampoo
16,Farewell Frizz™ Blow Dry Perfection Heat Protectant Crème
17,Lisse Luxe Hair Turban
18,Whatever Wherever Leave-In Conditioner
19,Blossom & Bloom™ Ginseng + Biotin Volumizing Conditioner
20,Blossom & Bloom Volumizing On-The-Go Travel Kit
21,"B. Well Vegan Omega 3, 6, 9 + Biotin Supplements for Healthy Hair"
22,Scalp Revival™ Charcoal + Peppermint Oil Cooling Jelly Conditioner
23,Curl Charisma™ Rice Amino + Shea Curl Defining Conditioner
24,Curl Charisma™ Rice Amino + Avocado Hydrating Shampoo
25,CAKE Restorative Scalp Tonic
26,Farewell Frizz™ Smoothing Conditioner
27,B. Well Organic + Cold-Pressed 100% Castor Oil
28,Scalp Revival™ Stimulating Therapy Massager
29,Jojoba & Tea Tree Scalp Oil
30,"Don't Despair, Repair!™ Strength + Moisture Leave-In Mask"
31,B. Well Tea Tree + Eucalyptus Clean Deodorant
32,03 Prime Rapid-Dry Hair Turban
33,Ritual Hair Oil
34,no-show dry shampoo
35,Curl Charisma™ Rice Amino + Avocado Leave–In Defining Crème
36,B. Well Organic + Australian 100% Tea Tree Oil
37,"Be Gentle, Be Kind™ Avocado + Quinoa Co–Wash"
38,Milk Anti-Frizz Leave-In Nourishing Treatment
39,Color Me Brilliant™ Mushroom + Bamboo Color Protect Shampoo
40,B.Well 100mg CBD + Arnica Flower Soothing Skin & Scalp Oil
41,Blossom & Bloom Ginseng + Biotin Volumizing Root Powder
42,Farewell Frizz™ Rosarco Milk Leave-In Conditioning Spray Mini
43,Love Lather Moisture Shampoo
44,"Don't Despair, Repair!™ Deep Conditioning Hair Cap System"
45,Color Me Brilliant™ Mushroom + Bamboo Color Protect Conditioner
46,"Farewell Frizz™ Rosehip, Argan & Coconut Oil Blend"
47,no-show dry shampoo mini
48,Farewell Frizz™ Smoothing Shampoo
49,Blossom & Bloom™ Ginseng + Biotin Volumizing Spray
50,Mint Leaves Scalp Oil
51,Purple Reign Shampoo
52,Scalp Revival Charcoal + Biotin Dry Shampoo
53,Project Sukuroi™ Golden Smoothing Balm
54,Classic Shampoo
55,Endless Summer Spray
56,01 Prime Water Defense PreWash
57,Multitask. Leave-In Lotion
58,Soft Volume Powder
59,Classic Conditioner
60,Voluminous Shampoo
61,Crown + Glory Smoothing Mask
62,Day Dreamer Conditioner with Anti-Pollution Benefits
63,Restorative Leave-In Conditioner
64,Curl Charisma™ Chia + Flax Seed Coil Custard
65,Prime Starter Kit
66,($72.00 value)
67,Curl Charisma™ Rice Amino + Quinoa Frizz Control Gel
68,Surf Bomb™ Sea Spray
69,Paradise Pink Satin Scarf
70,Leave-In Treatment
